ID,location,profile_HWD,household_size,heater_type,has_solar,control_type,tariff_type,new_system,old_heater,ID,net_present_cost,payback_period,LCOHW,capital_cost,annual_energy_cost,daily_supply_cost,oandm_cost,others_cost,rebates,disconnection_costs,solar_ratio_real,annual_fit_opp_cost,emissions_total,annual_energy_consumption
73,800,1,3,premium_heat_pump,FALSE,GS,flat,TRUE,none,73,7454.110726,,0.662181285,5263,150.7523677,0,200,,0,0,0,0,0.391454551,536.2620109
74,800,1,3,premium_heat_pump,FALSE,GS,tou,TRUE,none,74,7518.232718,,0.667877522,5263,161.0169976,0,200,,0,0,0,0,0.391454551,536.2620109
75,800,1,3,premium_heat_pump,FALSE,CL1,CL,TRUE,none,75,7297.222377,,0.648259004,5263,125.6377266,0,200,,0,0,0,0,0.348846543,478.2555256
76,800,1,3,premium_heat_pump,FALSE,CL2,CL,TRUE,none,76,7387.516357,,0.656273666,5263,140.0919606,0,200,,0,0,0,0,0.389727944,533.2773529
77,800,1,3,premium_heat_pump,FALSE,timer_OP,tou,TRUE,none,77,7263.144858,,0.645231649,5263,120.1826072,0,200,,0,0,0,0,0.347234083,475.3250324
78,800,1,3,premium_heat_pump,FALSE,CL3,CL,TRUE,none,78,7335.254649,,0.651637415,5263,131.7259216,0,200,,0,0,0,0,0.365788772,501.4309921
79,800,1,3,premium_heat_pump,TRUE,GS,flat,TRUE,none,79,7161.793102,,0.636213431,5263,103.9582476,0,200,,0,0,0.310403882,15.19759804,0.391454551,536.2620109
80,800,1,3,premium_heat_pump,TRUE,GS,tou,TRUE,none,80,7177.303508,,0.637591288,5263,106.4411489,0,200,,0,0,0.310403882,15.19759804,0.391454551,536.2620109
81,800,1,3,premium_heat_pump,TRUE,CL1,CL,TRUE,none,81,7297.222377,,0.648259004,5263,125.6377266,0,200,,0,0,0,0,0.348846543,478.2555256
82,800,1,3,premium_heat_pump,TRUE,CL2,CL,TRUE,none,82,7178.248242,,0.637683229,5263,106.5923815,0,200,,0,0,0.239125635,11.89764267,0.389727944,533.2773529
83,800,1,3,premium_heat_pump,TRUE,CL3,CL,TRUE,none,83,7010.862094,,0.622819557,5263,79.79725565,0,200,,0,0,0.394217519,18.44287984,0.365788772,501.4309921
84,800,1,3,premium_heat_pump,TRUE,timer_SS,flat,TRUE,none,84,6646.396293,,0.590441307,5263,21.45367629,0,200,,0,0,0.834212328,35.0598264,0.336031151,460.3226878
85,800,1,4,resistive,FALSE,GS,flat,TRUE,none,85,6698.867458,,0.446345905,1350,656.2451471,0,200,,0,0,0,0,1.705644168,2334.42
86,800,1,4,resistive,FALSE,GS,tou,TRUE,none,86,7202.679085,,0.479914901,1350,736.8951658,0,200,,0,0,0,0,1.705644168,2334.42
87,800,1,4,resistive,FALSE,CL1,CL,TRUE,none,87,6204.616703,,0.413401639,1350,577.12563,0,200,,0,0,0,0,1.601998449,2196.9
88,800,1,4,resistive,FALSE,CL2,CL,TRUE,none,88,6400.75589,,0.426475362,1350,608.523534,0,200,,0,0,0,0,1.693860976,2316.42
89,800,1,4,resistive,FALSE,timer_OP,tou,TRUE,none,89,6452.629358,,0.429941434,1350,616.8274236,0,200,,0,0,0,0,1.645762663,2250.9
90,800,1,4,resistive,FALSE,CL3,CL,TRUE,none,90,6354.084216,,0.423359769,1350,601.052346,0,200,,0,0,0,0,1.669299544,2287.98
